[2025-04-07T21:28:49.514Z] User Banned | User: troubleuser#1234 (12345678901234567) | Executor: admin#5678 (98765432109876543) | Details: {"reason":"Repeated violations of server rules"}
[2025-04-07T21:15:29.658Z] Ticket Closed | User: customer#4321 (45678901234567890) | Executor: support#9012 (10987654321098765) | Details: {"ticketId":"T-12345","reason":"Issue resolved"}
[2025-04-07T21:00:07.511Z] Command Used | User: member#6789 (67890123456789012) | Executor: System | Details: {"command":"help","args":[]}
[2025-04-07T20:46:05.336Z] Role Created | User: N/A | Executor: admin#5678 (98765432109876543) | Details: {"roleName":"VIP Member","color":"#FF9900"}
[2025-04-07T20:28:30.058Z] Server Setting Updated | User: N/A | Executor: owner#0000 (23456789012345678) | Details: {"setting":"Welcome Message","newValue":"Welcome to our amazing server!"}
[2025-04-07T20:19:02.471Z] Channel Created | User: N/A | Executor: mod#3456 (34567890123456789) | Details: {"channelName":"announcements","type":"text"}
[2025-04-07T20:09:06.215Z] Message Purged | User: spammer#7890 (78901234567890123) | Executor: mod#3456 (34567890123456789) | Details: {"amount":15,"channel":"general","reason":"Spam"}
[2025-04-07T19:58:09.981Z] User Muted | User: louduser#2345 (89012345678901234) | Executor: mod#3456 (34567890123456789) | Details: {"duration":"1h","reason":"Excessive noise in voice channel"}
[2025-04-07T19:47:32.239Z] Blacklist Added | User: badactor#3456 (90123456789012345) | Executor: admin#5678 (98765432109876543) | Details: {"reason":"Known scammer","scope":"global"}
[2025-04-07T19:40:28.019Z] Error Occurred | User: N/A | Executor: System | Details: {"error":"Failed to process command: TypeError: Cannot read properties of undefined"}
[2025-04-07T22:12:33.130Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"Error: listen EADDRINUSE: address already in use 0.0.0.0:5000\n    at Server.setupListenHandle [as _listen2] (node:net:1908:16)\n    at listenInCluster (node:net:1965:12)\n    at doListen (node:net:2139:7)\n    at process.processTicksAndRejections (node:internal/process/task_queues:83:21)"}
[2025-04-08T09:28:24.120Z] Command Error | User: gh_sman (930131254106550333) | Executor: System | Details: {"command":"setbounty","error":"adminUtils.canCreateBounty is not a function"}
[2025-04-08T09:51:37.115Z] Role Assigned | User: stick9551 (641089961826975744) | Executor: gh_sman (930131254106550333) | Details: {"role":"S ~ Members"}
[2025-04-08T10:47:33.249Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"Error: listen EADDRINUSE: address already in use 0.0.0.0:5000\n    at Server.setupListenHandle [as _listen2] (node:net:1908:16)\n    at listenInCluster (node:net:1965:12)\n    at doListen (node:net:2139:7)\n    at process.processTicksAndRejections (node:internal/process/task_queues:83:21)"}
[2025-04-08T11:35:48.943Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"error: terminating connection due to administrator command\n    at Parser.parseErrorMessage (/home/runner/workspace/node_modules/pg-protocol/dist/parser.js:283:98)\n    at Parser.handlePacket (/home/runner/workspace/node_modules/pg-protocol/dist/parser.js:122:29)\n    at Parser.parse (/home/runner/workspace/node_modules/pg-protocol/dist/parser.js:35:38)\n    at TLSSocket.<anonymous> (/home/runner/workspace/node_modules/pg-protocol/dist/index.js:11:42)\n    at TLSSocket.emit (node:events:518:28)\n    at addChunk (node:internal/streams/readable:561:12)\n    at readableAddChunkPushByteMode (node:internal/streams/readable:512:3)\n    at Readable.push (node:internal/streams/readable:392:5)\n    at TLSWrap.onStreamRead (node:internal/stream_base_commons:191:23)"}
[2025-04-08T11:42:53.295Z] User Banned | User: 984ikea (825060865333264454) | Executor: gh_sman (930131254106550333) | Details: {"reason":"No reason provided"}
[2025-04-08T11:43:23.180Z] User Unbanned | User: 984ikea (825060865333264454) | Executor: gh_sman (930131254106550333) | Details: {"reason":"No reason provided"}
[2025-04-08T11:47:00.225Z] User Muted | User: 984ikea (825060865333264454) | Executor: gh_sman (930131254106550333) | Details: {"reason":"No reason provided","duration":"Indefinite","method":"Muted Role"}
[2025-04-08T16:16:14.929Z] Ticket Created | User: hulkiejunkie (1356696507612397628) | Executor: System | Details: {"channel":{"type":0,"guild":"1357921148838481990","guildId":"1357921148838481990","permissionOverwrites":["1357921148838481990","1356696507612397628","1356989479491080494","1357921148901392534"],"messages":["1359200176241381498"],"threads":[],"nsfw":false,"flags":0,"id":"1359200174924366055","name":"ticket-hulkiejunkie","rawPosition":16,"parentId":"1359200174504935474","topic":null,"lastMessageId":"1359200176241381498","defaultThreadRateLimitPerUser":null,"rateLimitPerUser":0,"createdTimestamp":1744128974420},"type":"Staff Application"}
[2025-04-08T16:23:12.860Z] Bounty Created | User: N/A | Executor: msg_com (1310286465955008603) | Details: {"robloxUsername":"gh","robloxId":"55","amount":56,"clipRequired":true}
[2025-04-08T16:26:09.269Z] Bounty Created | User: N/A | Executor: msg_com (1310286465955008603) | Details: {"robloxUsername":"gh","robloxId":"55","amount":56,"clipRequired":true}
[2025-04-08T16:40:14.646Z] Bounty Created | User: N/A | Executor: msg_com (1310286465955008603) | Details: {"robloxUsername":"ggg","robloxId":"5","amount":56,"clipRequired":true}
[2025-04-08T16:41:29.381Z] Bounty Created | User: N/A | Executor: msg_com (1310286465955008603) | Details: {"robloxUsername":"ggg","robloxId":"5","amount":56,"clipRequired":true}
[2025-04-08T16:47:30.755Z] Bounty Created | User: N/A | Executor: msg_com (1310286465955008603) | Details: {"robloxUsername":"ggg","robloxId":"5","amount":56,"clipRequired":true}
[2025-04-08T16:49:26.375Z] Bounty Created | User: N/A | Executor: msg_com (1310286465955008603) | Details: {"robloxUsername":"ggg","robloxId":"5","amount":56,"clipRequired":true}
[2025-04-08T16:55:20.220Z] Bounty Created | User: N/A | Executor: msg_com (1310286465955008603) | Details: {"robloxUsername":"55","robloxId":"5666","amount":56,"clipRequired":true}
